,business_id,city,full_address,latitude,longitude,name,review_count,stars,state,type,Fast_Food,Nightlife,Pizza,Bars,Mexican,Food,American (Traditional),Burgers,Chinese,Italian,American (New),Breakfast & Brunch,Thai,Indian,Sushi Bars,Korean,Mediterranean,Japanese,Seafood,Middle Eastern,Pakistani,Barbeque,Vietnamese,Asian Fusion,Diners,Greek,Vegetarian,Number_of_Checkins,Number_of_Tips,Number_of_Tip_Likes
0,5UmKMjUEUNdYWqANhGckJw,Dravosburg,"4734 Lebanon Church Rd Dravosburg, PA 15034",40.3543266,-79.9007057,Mr Hoagie,4,4.5,PA,business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,UsFtqoBl7naz8AVUBZMjQQ,Dravosburg,"202 McClure St Dravosburg, PA 15034",40.3505527,-79.8868138,Clancy's Pub,4,3.5,PA,business,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3eu6MEFlq2Dg7bQh8QbdOg,Dravosburg,"1 Ravine St Dravosburg, PA 15034",40.3509559,-79.889059,Joe Cislo's Auto,3,5.0,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,cE27W9VPgO88Qxe4ol6y_g,Bethel Park,"1530 Hamilton Rd Bethel Park, PA 15234",40.3541155,-80.0146597,Cool Springs Golf Center,5,2.5,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
4,HZdLhv6COCleJMo7nPl-RA,Pittsburgh,"301 South Hills Village Pittsburgh, PA 15241",40.35762,-80.05998,Verizon,5,2.5,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,mVHrayjG3uZ_RLHkLj-AMg,rankin,"414 Hawkins Ave rankin, PA 15104",40.4134643,-79.8802474,Emil's Lounge,20,5.0,PA,business,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1
6,VHYT1qgQw5JvXAlUDhTArA,Pittsburgh,"2101 Greentree Rd Ste B201 Pittsburgh, PA 15220",40.3903858,-80.0708968,Extreme Fitness 2,3,2.5,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,KayYbHCt-RkbGcPdGOThNg,Carnegie,"141 Hawthorne St Greentree Carnegie, PA 15106",40.415517,-80.067534,Alexion's Bar & Grill,21,4.0,PA,business,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,0
8,b12U9TFESStdy7CsTtcOeg,Carnegie,"718A Hope Hollow Rd Carnegie, PA 15106",40.394588,-80.0844539,Flynn's Tire And Auto Service,7,2.5,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
9,Sktj1eHQFuVa-M4bgnEh8g,Carnegie,"920 Forsythe Rd Carnegie Carnegie, PA 15106",40.4054039,-80.0762665,Forsythe Miniature Golf & Snacks,4,4.0,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3ZVKmuK2l7uXPE6lXY4Dbg,Carnegie,"8 Logan St Carnegie Carnegie, PA 15106",40.406323,-80.0903575,Quaker State Construction,3,2.5,PA,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
